start,low,high,open,close,volume,fibonacciretracement_signal,FlowMinMax,ew_0,ew_1,ew_2,ew_3,ew_4,ew_5,ew_a,ew_b,ew_c,signal
2025-06-14 09:30:00,3.0118,3.0178,3.015,3.0165,14898.1,0,1,,,,,,,,,,0
2025-06-14 09:45:00,3.0075,3.0182,3.0165,3.0105,13098.2,0,-1,,,,,,,,,,0
2025-06-14 10:00:00,3.0077,3.0187,3.0108,3.0168,38820.3,0,0,,,,,,,,,,0
2025-06-14 10:15:00,3.0081,3.0179,3.0165,3.0179,26397.2,0,0,,,,,,,,,,0
2025-06-14 10:30:00,3.0169,3.027,3.018,3.02,18304.5,0,0,,,,,,,,,,0
2025-06-14 10:45:00,3.0175,3.0249,3.0198,3.021,59843.2,0,0,,,,,,,,,,0
2025-06-14 11:00:00,3.0197,3.0273,3.0213,3.0243,15210.1,0,0,,,,,,,,,,0
2025-06-14 11:15:00,3.0241,3.0342,3.0249,3.0282,10014.7,0,1,,,,,,,,,,0
2025-06-14 11:30:00,3.0199,3.0334,3.0282,3.0203,42571.4,0,-1,,,,,,,,,,0
2025-06-14 11:45:00,3.0191,3.0288,3.0206,3.0288,24811.7,0,1,,,,,,,,,,0
2025-06-14 12:00:00,3.02,3.0327,3.0283,3.0207,21618.5,0,0,,,,,,,,,,0
2025-06-14 12:15:00,2.9979,3.0242,3.0205,3.0009,269784.6,0,0,,,,,,,,,,0
2025-06-14 12:30:00,2.9969,3.0099,3.0008,2.9996,97720.2,0,-1,,,,,,,,,,0
2025-06-14 12:45:00,2.9997,3.0137,2.9997,3.0114,41856.2,0,0,,,,,,,,,,0
2025-06-14 13:00:00,3.0048,3.0226,3.0117,3.0199,29189.5,0,1,,,,,,,,,,0
2025-06-14 13:15:00,3.003,3.0207,3.0192,3.0045,143817.9,0,0,,,,,,,,,,0
2025-06-14 13:30:00,2.9959,3.01,3.0043,2.9967,177990.7,0,-1,,,,,,,,,,0
2025-06-14 13:45:00,2.9799,2.9976,2.997,2.9976,309199.7,0,1,,,,,,,,,,0
2025-06-14 14:00:00,2.9812,3.0013,2.9979,2.9871,198959.4,0,-1,,,,,,,,,,0
2025-06-14 14:15:00,2.9842,2.9993,2.9873,2.9921,56345.1,0,1,,,,,,,,,,0
2025-06-14 14:30:00,2.9827,2.993,2.9916,2.9864,43168.4,0,0,,,,,,,,,,0
2025-06-14 14:45:00,2.9784,2.9881,2.9861,2.984,110712.2,0,0,,,,,,,,,,0
2025-06-14 15:00:00,2.98,2.9909,2.9846,2.9838,109768.4,0,0,,,,,,,,,,0
2025-06-14 15:15:00,2.9736,2.9902,2.9846,2.976,88043.3,0,0,,,,,,,,,,0
2025-06-14 15:30:00,2.907,2.9754,2.9754,2.9172,834826.7,-1,-1,,,,,,,,,,-1
2025-06-14 15:45:00,2.9132,2.929,2.9178,2.9264,620341.5,0,1,,,,,,,,,,0
2025-06-14 16:00:00,2.8969,2.939,2.9265,2.9101,526102.1,0,0,,,,,,,,,,0
2025-06-14 16:15:00,2.885,2.9189,2.9104,2.8927,601637.8,0,0,,,,,,,,,,0
