start,low,high,open,close,volume,MA,STD,Z_Score,zscoremeanreversion_signal,signal
2025-06-16 10:00:00,3.0781,3.1152,3.1023,3.0869,222053.9,3.04975,0.04368462935752699,0.8504135332350934,0,0
2025-06-16 11:00:00,3.07,3.1176,3.087,3.1122,377042.4,3.05491,0.04470106439330021,1.2816249630195982,0,0
2025-06-16 12:00:00,3.083,3.1154,3.1126,3.0995,389426.3,3.0592099999999998,0.04464432421047221,0.9024663428671487,0,0
2025-06-16 13:00:00,3.0887,3.1326,3.0995,3.128,498025.6,3.0647349999999998,0.046026894597778485,1.3745224515549626,0,0
2025-06-16 14:00:00,3.1144,3.1598,3.1272,3.1172,1574824.7,3.06908,0.04670188320331481,1.0303653021980166,0,0
2025-06-16 15:00:00,3.1025,3.134,3.1174,3.1091,1229790.9,3.07356,0.04598756582518287,0.7728175945450534,0,0
2025-06-16 16:00:00,3.0993,3.1383,3.109,3.1247,565156.1,3.0805,0.04239539448670589,1.0425660743376266,0,0
2025-06-16 17:00:00,3.1026,3.1329,3.1244,3.1075,433930.6,3.08587,0.03827746485582174,0.5650844454164593,0,0
2025-06-16 18:00:00,3.1038,3.1297,3.1079,3.1288,846885.2,3.09108,0.036551486397873374,1.0319689762929807,0,0
2025-06-16 19:00:00,3.1172,3.1534,3.129,3.1257,942025,3.09619,0.03363383165174796,0.877390370075974,0,0
2025-06-16 20:00:00,3.1004,3.1371,3.1263,3.1297,793186.4,3.1026,0.025984225984222925,1.0429404368810098,0,0
2025-06-16 21:00:00,3.1076,3.1347,3.1296,3.1239,268004.9,3.10649,0.022696183310003143,0.7670893278486441,0,0
2025-06-16 22:00:00,3.02,3.1371,3.1233,3.0522,1590287.4,3.1055300000000003,0.02458592023259191,-2.1691276753311963,1,1
2025-06-16 23:00:00,2.9834,3.0783,3.0519,2.9969,2546711.1,3.101985,0.03372525642677603,-3.1159140399172194,1,1
2025-06-17 00:00:00,2.9277,3.0261,2.9974,3.0246,2853607.1,3.0998449999999997,0.03721289356348944,-2.0220142212704646,1,1
2025-06-17 01:00:00,3.0004,3.0311,3.0249,3.003,436038.1,3.096085,0.04288226568787491,-2.1707108639625803,1,1
2025-06-17 02:00:00,2.988,3.0409,3.0036,3.0361,648609,3.093435,0.04492557910471407,-1.2762217236279083,0,0
2025-06-17 03:00:00,3.0304,3.0593,3.0378,3.042,630710.9,3.088535,0.044923856925377904,-1.0358638635435582,0,0
2025-06-17 04:00:00,3.0168,3.0469,3.0418,3.0285,364040.1,3.083935,0.04617138866850495,-1.2006353198082118,0,0
2025-06-17 05:00:00,3.0013,3.0318,3.0283,3.0096,226224,3.079305,0.04881085378650563,-1.4280635267082986,0,0
2025-06-17 06:00:00,2.9811,3.0183,3.0093,2.994,290180.2,3.07466,0.052342610195752384,-1.5410007200318323,1,1
2025-06-17 07:00:00,2.9838,3.003,2.9928,2.9949,234220.5,3.068795,0.05444440404282317,-1.3572561092206694,0,0
2025-06-17 08:00:00,2.9577,2.9962,2.9957,2.9614,541687.1,3.06189,0.0589187567310792,-1.7055689151531683,1,1
2025-06-17 09:00:00,2.9397,2.969,2.9616,2.9473,1623903.1,3.052855,0.06202066272833937,-1.70193279717678,1,1
2025-06-17 10:00:00,2.9142,2.9517,2.9468,2.9434,634923.8,3.044165,0.06465067488555076,-1.5586070861345436,1,1
2025-06-17 11:00:00,2.8878,2.9446,2.9438,2.9142,4378060.7,3.03442,0.06889715141922435,-1.7449197466595814,1,1
2025-06-17 12:00:00,2.894,2.9304,2.9132,2.9042,1781539,3.023395,0.0712908385270793,-1.671953962986767,1,1
2025-06-17 13:00:00,2.8956,2.9258,2.9037,2.9092,635497.5,3.0134800000000004,0.07275264220196966,-1.4333500041209142,0,0
2025-06-17 14:00:00,2.8801,2.9344,2.9094,2.8831,558452.9,3.001195,0.07299884984673938,-1.6177652147662538,1,1
2025-06-17 15:00:00,2.8268,2.8836,2.8831,2.8611,2474424.4,2.987965,0.07322361766677467,-1.7325694091943944,1,1
2025-06-17 16:00:00,2.8075,2.8643,2.861,2.8083,3223654,2.971895,0.07570652113328667,-2.160910282906533,1,1
2025-06-17 17:00:00,2.8022,2.8539,2.8087,2.8195,1422585.9,2.956675,0.07412074697126657,-1.850696405598515,1,1
2025-06-17 18:00:00,2.8053,2.8632,2.8195,2.8612,1183621.9,2.9471249999999998,0.0734668623831225,-1.1695749241598086,0,0
2025-06-17 19:00:00,2.8582,2.9029,2.8605,2.8759,986049.3,2.941075,0.07413132639195932,-0.8791829739480987,0,0
2025-06-17 20:00:00,2.8473,2.887,2.8746,2.85,1019448.4,2.932345,0.07405815264833347,-1.1118964901948998,0,0
2025-06-17 21:00:00,2.8341,2.8676,2.8494,2.8419,733056.7,2.92429,0.07472690560335221,-1.1025479957289201,0,0
2025-06-17 22:00:00,2.8206,2.8552,2.8422,2.8232,837854.1,2.913645,0.07310752337265937,-1.2371503756044944,0,0
2025-06-17 23:00:00,2.8218,2.857,2.8236,2.8366,347919.8,2.903375,0.06840319994823102,-0.9761970207612652,0,0
2025-06-18 00:00:00,2.8188,2.8545,2.8372,2.844,346885.5,2.8941500000000002,0.06285659116299099,-0.7978479117640717,0,0
2025-06-18 01:00:00,2.8415,2.8767,2.8442,2.8486,451311.9,2.8861,0.057362246891321376,-0.6537400822364519,0,0
2025-06-18 02:00:00,2.8392,2.867,2.8488,2.8522,309517.4,2.87901,0.05181930040763505,-0.5173747964387809,0,0
